NAME,SCORE,MONEY,VERSION
AMD Ryzen 7 PRO 2700, 15370, 153864, 2
AMD Ryzen 5 PRO 4655G, 15276, 110060, 4
AMD Ryzen 7 PRO 4750U, 15231, 367990, 4
Intel Xeon Silver 4210R @ 2.40GHz, 15149, 672042, 4
Intel Xeon Silver 4116 @ 2.10GHz, 15146, 562096, 4
Intel Core i7-10875H @ 2.30GHz, 15119, 140179, 10
AMD Ryzen 5 5560U, 15061, 206400, 5
Intel Core i9-10900T @ 1.90GHz, 14951, 566021, 10
AMD EPYC 7251, 14935, 145980, 7
Intel Core i3-13100, 14917, 201290, 13
Intel Xeon E5-2658A v3 @ 2.20GHz, 148796, 38739, 2
Intel Xeon D-1733NT @ 2.00GHz, 14849, 1130966, 1
Intel Xeon E5-2683 v3 @ 2.00GHz, 14830, 266547, 2
AMD Ryzen 7 1700, 14824, 267969, 1
Intel Xeon E5-1681 v3 @ 2.90GHz, 14820, 468678, 1
Intel Xeon E5-2678 v3 @ 2.50GHz, 14729, 1299000, 2
Intel Core i3-13100F, 14727, 156960, 13
Intel Core i5-11600T @ 1.70GHz, 14713, 345630, 11
Intel Core i3-12300, 14706, 184815, 12
Intel Xeon E5-2687W v3 @ 3.10GHz, 14676, 82042, 2
Intel Xeon Gold 5115 @ 2.40GHz, 14649, 1678032, 5
Intel Core i7-6900K @ 3.20GHz, 14531, 296685, 6
Intel Core i7-9700K @ 3.60GHz, 14524, 314702, 9
Intel Xeon W-1250P @ 4.10GHz, 14440, 469991, 1
Intel Xeon Silver 4215 @ 2.50GHz, 14439, 721478, 4
Intel Xeon E5-2658 v4 @ 2.30GHz, 14434, 100465, 2
AMD Ryzen 7 PRO 1700, 14405, 137424, 1
Intel Xeon Silver 4123 @ 3.00GHz, 14405, 197890, 4
Intel Core i3-1220P, 14404, 424674, 1
Intel Core i5-10600KF @ 4.10GHz, 14391, 149900, 10
Intel Core i7-9700KF @ 3.60GHz, 14382, 498130, 9
Intel Core i5-10600K @ 4.10GHz, 14377, 196552, 10
Intel Xeon W-2135 @ 3.70GHz, 14365, 268025, 2
Intel Core i7-8086K @ 4.00GHz, 14359,  974810, 8
Intel Core i5-1240U, 14323, 210340, 1
Intel Xeon E5-2666 v3 @ 2.90GHz, 14318, 56432, 2
Intel Core i9-9980HK @ 2.40GHz, 14317, 229315, 9
Intel Xeon E5-2673 v3 @ 2.40GHz, 14304, 222483, 2
Intel Xeon E5-2697 v2 @ 2.70GHz, 14007, 89367, 2
AMD Ryzen 5 2600X, 13966, 274976, 2
AMD EPYC 3251, 13862, 1236080, 3
AMD Ryzen 3 PRO 5350G, 13516, 169863, 5
AMD Ryzen 5 PRO 2600, 13480, 68000, 2
AMD Ryzen 3 PRO 5350GE, 13460, 95670, 5
AMD Ryzen 5 4600U, 13449, 127720, 4
AMD Ryzen 3 5300GE, 13321, 94408, 5
AMD Ryzen 3 3100, 11634, 75678, 3
AMD Ryzen 3 PRO 4200G, 11315, 125990, 4
AMD Ryzen 3 4300GE, 11225, 181491, 4
AMD Ryzen 5 7500F, 25712, 201490, 7
Intel Core i9-10900X @ 3.70GHz, 22493, 842750, 10
AMD Ryzen 7 5700GE,	22196, 68000,5
AMD Ryzen 7 PRO 6850HS, 22044, 789000, 6
AMD Ryzen 7 PRO 5750GE, 22042, 424947, 5
AMD Ryzen 5 5600X3D, 22015, 299000, 5
